time	V(vo)	V(n009)
9.066896323791429e-03	-4.358836e-01	-2.211206e-01
9.106896323791247e-03	-6.532869e-01	-4.549388e-01
9.146896323791065e-03	-8.301040e-01	-6.631445e-01
9.186896323790883e-03	-9.575834e-01	-8.350226e-01
9.216361861640543e-03	-1.015887e+00	-9.326797e-01
9.232832276373504e-03	-1.031162e+00	-9.704403e-01
9.247918427580881e-03	-1.032572e+00	-9.896724e-01
9.264226280817578e-03	-1.021415e+00	-9.955487e-01
9.288153018266687e-03	-9.813158e-01	-9.849406e-01
9.326896323791800e-03	-8.707891e-01	-9.357690e-01
9.366896323791618e-03	-7.069802e-01	-8.391762e-01
9.406896323791436e-03	-4.987420e-01	-6.858337e-01
9.446896323791254e-03	-2.606898e-01	-4.822296e-01
9.486896323791072e-03	-9.535043e-03	-2.455349e-01
9.526896323790890e-03	2.379585e-01	5.603314e-03
9.566896323790708e-03	4.662791e-01	2.534307e-01
9.606896323790526e-03	6.621795e-01	4.815413e-01
9.646896323790344e-03	8.153397e-01	6.758341e-01
9.686896323790162e-03	9.221900e-01	8.289068e-01
9.716361861640266e-03	9.697670e-01	9.121073e-01
9.732832276373227e-03	9.818314e-01	9.442540e-01
9.747918427581048e-03	9.825339e-01	9.632070e-01
9.764226280817745e-03	9.729155e-01	9.730249e-01
9.788153018266854e-03	9.391776e-01	9.670843e-01
9.826896323791967e-03	8.457628e-01	9.168747e-01
9.866896323791785e-03	7.046190e-01	8.174685e-01
9.906896323791603e-03	5.196621e-01	6.699569e-01
9.946896323791421e-03	2.997930e-01	4.814351e-01
9.986896323791239e-03	5.829033e-02	2.646507e-01
1.000000000000023e-02	-2.406538e-02	1.884171e-01
